"Practice Fusion","","https://www.secondmarket.com/company/practice-fusion","http://www.practicefusion.com/","Jan 2012","$2M"
"Barracuda Networks","Campbell, CA","https://www.secondmarket.com/company/barracuda-networks","http://www.barracudanetworks.com","Oct 2009","$5.61M"
"Glam Media","Brisbane, CA","https://www.secondmarket.com/company/glam-media","http://www.glammedia.com","Feb 2010","$50M"
"Turntable.fm","San Francisco, CA","https://www.secondmarket.com/company/turntablefm","http://turntable.fm/","Sep 2011","$7M"
"Brand Affinity Technologies","Irvine, CA","https://www.secondmarket.com/company/brand-affinity-technologies","http://www.brandaffinity.net","Aug 2010","$20M"
"Yodle","New York, NY","https://www.secondmarket.com/company/yodle","http://www.yodle.com/","Feb 2010","$10M"
"Huawei","Shenzhen , P.R., China","https://www.secondmarket.com/company/huawei","http://www.huawei.com","",""
"Koch Industries","Wichita, KS","https://www.secondmarket.com/company/koch-industries","http://www.kochind.com","",""
"shopkick","Palo Alto, CA","https://www.secondmarket.com/company/shopkick","http://www.shopkick.com","Jul 2010","$15M"
"Bass Pro Shops","Springfield, MO","https://www.secondmarket.com/company/bass-pro-shops","http://www.basspro.com","",""
"Opower","Arlington, VA","https://www.secondmarket.com/company/opower","http://www.opower.com/","Nov 2010","$50M"
"BOKU","San Francisco, CA","https://www.secondmarket.com/company/boku","http://www.boku.com","May 2010","Unknown"
"ideeli","New York, NY","https://www.secondmarket.com/company/ideeli","http://www.ideeli.com/","Apr 2011","$41M"
"Linden Lab","Cambridge, MA","https://www.secondmarket.com/company/linden-lab","http://www.lindenlab.com","Mar 2006","$11M"
"Simple","Portland, OR","https://www.secondmarket.com/company/banksimple","http://www.simple.com","Aug 2011","$10M"
"TripIt","San Francisco, CA","https://www.secondmarket.com/company/tripit","http://www.tripit.com","",""
"GrubHub","Chicago, IL","https://www.secondmarket.com/company/grubhub","http://www.grubhub.com/","Sep 2011","$50M"
"Meebo","Mountain View, CA","https://www.secondmarket.com/company/meebo","http://www.meebo.com/","Dec 2010","$27M"
"Art.sy","New York, NY","https://www.secondmarket.com/company/artsy","http://art.sy","Nov 2011","$6M"
"Livestream","New York, NY","https://www.secondmarket.com/company/livestream","http://www.livestream.com/","Jul 2008","$10M"
"Serious Energy","Sunnyvale, CA","https://www.secondmarket.com/company/serious-materials","http://www.seriousenergy.com","Jun 2010","$19M"
"AVG Technologies","Chelmsford, MA","https://www.secondmarket.com/company/avg-technologies","http://www.avg.com","Jul 2009","$200M"
"Big Fish Games","Seattle, WA","https://www.secondmarket.com/company/big-fish-games","http://www.bigfishgames.com","Sep 2008","$83M"
"YouSendIt","Campbell, CA","https://www.secondmarket.com/company/yousendit","http://www.yousendit.com","Aug 2010","$15M"
"Knewton","New York, NY","https://www.secondmarket.com/company/knewton","http://www.knewton.com/","Oct 2011","$33M"
"Tagged","San Francisco, CA","https://www.secondmarket.com/company/tagged","http://www.tagged.com/","Jan 2010","$201K"
"Gowalla","Austin, TX","https://www.secondmarket.com/company/gowalla","http://gowalla.com/","Jan 2010","$105K"
"Yipit","New York, NY","https://www.secondmarket.com/company/yipit","http://yipit.com","Jun 2011","$6M"
"Justin.TV","San Francisco, CA","https://www.secondmarket.com/company/justintv","http://www.justin.tv","Oct 2007","Unknown"
"Loopt","Mountain View, CA","https://www.secondmarket.com/company/loopt","http://www.loopt.com","Jul 2007","$12M"
"FirstMark Capital","New York, NY","https://www.secondmarket.com/company/firstmark-capital","firstmarkcap.com","",""
"Funny Or Die","San Mateo, CA","https://www.secondmarket.com/company/funny-or-die","http://funnyordie.com","Dec 2008","$3M"
"RockMelt","Mountain View, CA","https://www.secondmarket.com/company/rockmelt","http://www.rockmelt.com/","Jun 2011","$30M"
"Kabam","Redwood City, CA","https://www.secondmarket.com/company/kabam-formerly-watercooler","http://www.kabam.com","May 2011","$85M"
"10gen","New York, NY","https://www.secondmarket.com/company/10gen","http://www.10gen.com/","Sep 2011","$20M"
"MobiTV","Emeryville, CA","https://www.secondmarket.com/company/mobitv","http://mobitv.com","Nov 2006","$30M"
