"Ticker Symbol","Period","Revenue"
"SNDK","2007-12","3896366000"
"SNDK","2008-12","3351352000"
"SNDK","2009-12","3566806000"
"SNDK","2010-12","4826807000"
"SNDK","TTM","5412628000"
"STX","2007-06","11360000000"
"STX","2008-06","12708000000"
"STX","2009-06","9805000000"
"STX","2010-06","11395000000"
"STX","2011-06","10971000000"
"STX","TTM","11561000000"
"SU","2006-12","15829450140"
"SU","2007-12","17933260503"
"SU","2008-12","30060709082"
"SU","2009-12","25480000000"
"SU","2010-12","36287000000"
"SU","TTM","42676000000"
"T","2006-12","63055000000"
"T","2007-12","118928000000"
"T","2008-12","124028000000"
"T","2009-12","123018000000"
"T","2010-12","124280000000"
"T","TTM","125581000000"
"UTX","2007-12","54759000000"
"UTX","2008-12","58681000000"
"UTX","2009-12","52920000000"
"UTX","2010-12","54326000000"
"UTX","2011-12","58190000000"
"UTX","TTM","58190000000"
"V","2007-09","3589796000"
"V","2008-09","6263000000"
"V","2009-09","6911000000"
"V","2010-09","8065000000"
"V","2011-09","9188000000"
"V","TTM","9497000000"
"VHC","2006-12","191287"
"VHC","2007-12","74866"
"VHC","2008-12","133744"
"VHC","2009-12","26306"
"VHC","2010-12","68185"
"VHC","TTM","28185"
"VZ","2006-12","88144000000"
"VZ","2007-12","93469000000"
"VZ","2008-12","97354000000"
"VZ","2009-12","107808000000"
"VZ","2010-12","106565000000"
"VZ","TTM","108834000000"
"WLT","2006-12","1309856000"
"WLT","2007-12","1241372000"
"WLT","2008-12","1487070000"
"WLT","2009-12","966827000"
"WLT","2010-12","1587730000"
"WLT","TTM","2272600000"
"WMB","2006-12","11812900000"
"WMB","2007-12","10558000000"
"WMB","2008-12","12352000000"
"WMB","2009-12","8255000000"
"WMB","2010-12","9616000000"
"WMB","TTM","10383000000"
"WMT","2007-01","348650000000"
"WMT","2008-01","378799000000"
"WMT","2009-01","405607000000"
"WMT","2010-01","408214000000"
"WMT","2011-01","421849000000"
"WMT","TTM","440141000000"
"WYNN","2006-12","1432257000"
"WYNN","2007-12","2687519000"
"WYNN","2008-12","2987324000"
"WYNN","2009-12","3045611000"
"WYNN","2010-12","4184698000"
"WYNN","TTM","5163117000"
"X","2006-12","15715000000"
"X","2007-12","16873000000"
"X","2008-12","23754000000"
"X","2009-12","11048000000"
"X","2010-12","17374000000"
"X","TTM","19365000000"
"XOM","2006-12","377635000000"
"XOM","2007-12","404552000000"
"XOM","2008-12","477359000000"
"XOM","2009-12","310586000000"
"XOM","2010-12","383221000000"
"XOM","TTM","470006000000"
"YHOO","2006-12","6425679000"
"YHOO","2007-12","6969274000"
"YHOO","2008-12","7208502000"
"YHOO","2009-12","6460315000"
"YHOO","2010-12","6324651000"
"YHOO","TTM","5185155000"
"YOKU","2006-12","null"
"YOKU","2007-12","null"
"YOKU","2008-12","33022000"
"YOKU","2009-12","153626000"
"YOKU","2010-12","387097000"
"YOKU","TTM","740789000"
