"YouSendIt","Campbell, CA","https://www.secondmarket.com/company/yousendit"
"Knewton","New York, NY","https://www.secondmarket.com/company/knewton"
"Tagged","San Francisco, CA","https://www.secondmarket.com/company/tagged"
"Gowalla","Austin, TX","https://www.secondmarket.com/company/gowalla"
"Yipit","New York, NY","https://www.secondmarket.com/company/yipit"
"Justin.TV","San Francisco, CA","https://www.secondmarket.com/company/justintv"
"Loopt","Mountain View, CA","https://www.secondmarket.com/company/loopt"
"FirstMark Capital","New York, NY","https://www.secondmarket.com/company/firstmark-capital"
"Funny Or Die","San Mateo, CA","https://www.secondmarket.com/company/funny-or-die"
"RockMelt","Mountain View, CA","https://www.secondmarket.com/company/rockmelt"
"Kabam","Redwood City, CA","https://www.secondmarket.com/company/kabam-formerly-watercooler"
"10gen","New York, NY","https://www.secondmarket.com/company/10gen"
"MobiTV","Emeryville, CA","https://www.secondmarket.com/company/mobitv"
"GoDaddy.com","Scottsdale, AZ","https://www.secondmarket.com/company/go-daddy"
"Roku","Saratoga, CA","https://www.secondmarket.com/company/roku"
"Masterseek","New York, NY","https://www.secondmarket.com/company/masterseek"
"OnLive","Palo Alto, CA","https://www.secondmarket.com/company/onlive"
"the Rubicon Project","Los Angeles, CA","https://www.secondmarket.com/company/the-rubicon-project"
"SCVNGR","Cambridge, MA","https://www.secondmarket.com/company/scvngr"
"Quantcast","San Francisco, CA","https://www.secondmarket.com/company/quantcast"
"Covestor","New York, NY","https://www.secondmarket.com/company/covestor"
"Ernst & Young","London, United Kingdom","https://www.secondmarket.com/company/ernst--young"
"ProFounder","Los Angeles, CA","https://www.secondmarket.com/company/profounder"
"Bazaarvoice","Austin, TX","https://www.secondmarket.com/company/bazaarvoice"
"Clickable","New York, NY","https://www.secondmarket.com/company/clickable"
"In-N-Out Burgers","Irvine, CA","https://www.secondmarket.com/company/in-n-out-burgers"
"Jetsetter","New York, NY","https://www.secondmarket.com/company/jetsettercom"
"Ooyala","Mountain View, CA","https://www.secondmarket.com/company/ooyala"
